Issue ID,Project Name,Project Key,Issue Type,Summary,Description,Component/s,Labels,Epic Name,Epic Link,Priority
EP-001,SIM NEWEN,SIM,Epic,EPIC-SW-01 - Nucleo de simulacion y escenarios,"Motor de sesion, escenarios, clima, combustible, emergencias y acrobacia. Trazabilidad principal: SR-SIM-003, SR-SIM-005, SR-SIM-006, SR-SIM-007, SR-SIM-019, SR-SIM-032.",sw,"newen,sim,scrumban,sw",EPIC-SW-01 - Nucleo de simulacion y escenarios,,High
EP-002,SIM NEWEN,SIM,Epic,EPIC-SW-02 - Estacion instructor y ATC,"HMI de instructor, fallas, reposicionamiento, monitoreo, reinicio, comunicacion ATC y bitacora. Trazabilidad principal: SR-SIM-010 a SR-SIM-015, SR-SIM-031, SR-SIM-035.",sw,"newen,sim,scrumban,sw",EPIC-SW-02 - Estacion instructor y ATC,,High
EP-003,SIM NEWEN,SIM,Epic,EPIC-SW-03 - Multiestacion e interoperabilidad,"Red de tres simuladores, control maestro, integracion MPS/DBS e ICD. Trazabilidad principal: SR-SIM-016, SR-SIM-017, SR-SIM-018, SR-SIM-020, SR-SIM-026.","sw,int","newen,sim,scrumban,sw,int",EPIC-SW-03 - Multiestacion e interoperabilidad,,High
EP-004,SIM NEWEN,SIM,Epic,EPIC-HW-01 - Arquitectura electrica y energia,"Distribucion electrica, UPS, protecciones, panel electrico, cableado y readiness electrico. Trazabilidad principal: SR-SIM-025, SR-SIM-028, SR-SIM-033, SR-SIM-034.",hw,"newen,sim,scrumban,hw",EPIC-HW-01 - Arquitectura electrica y energia,,High
EP-005,SIM NEWEN,SIM,Epic,"EPIC-HW-02 - Mandos, sensores y actuadores","Baston, pedales, sensores, force feedback, actuadores de fallas e interfaces fisicas. Trazabilidad principal: SR-SIM-008, SR-SIM-009, SR-SIM-012, SR-SIM-022.",hw,"newen,sim,scrumban,hw,force-feedback","EPIC-HW-02 - Mandos, sensores y actuadores",,High
EP-006,SIM NEWEN,SIM,Epic,EPIC-FW-01 - Firmware de modulos de cabina,"Controladores, buses, diagnostico, watchdog, comandos de actuadores y telemetria local. Trazabilidad principal: SR-SIM-008, SR-SIM-009, SR-SIM-012, SR-SIM-033, SR-SIM-034.",fw,"newen,sim,scrumban,fw",EPIC-FW-01 - Firmware de modulos de cabina,,High
EP-007,SIM NEWEN,SIM,Epic,EPIC-MEC-01 - Estructura cabina y ergonomia,"Cabina fisica, base fija, soportes, paneles, accesos y ergonomia de entrenamiento. Trazabilidad principal: SR-SIM-002, SR-SIM-004, SR-SIM-027, SR-SIM-028, SR-SIM-029.",mec,"newen,sim,scrumban,mec",EPIC-MEC-01 - Estructura cabina y ergonomia,,High
EP-008,SIM NEWEN,SIM,Epic,EPIC-MEC-02 - Integracion fisica y transportabilidad,"Ruedas, anclajes, layout de montaje, mantenibilidad Nivel 1 y condiciones de instalacion. Trazabilidad principal: SR-SIM-027, SR-SIM-029, SR-SIM-030.",mec,"newen,sim,scrumban,mec",EPIC-MEC-02 - Integracion fisica y transportabilidad,,Medium
EP-009,SIM NEWEN,SIM,Epic,EPIC-QA-01 - Verificacion y aceptacion,"Matriz UR-SR-US, FAT/SAT, evidencias, criterios de latencia, catalogo de fallas y manuales. Trazabilidad principal: SR-SIM-023, SR-SIM-036, SR-SIM-037.",qa,"newen,sim,scrumban,qa,fat-sat",EPIC-QA-01 - Verificacion y aceptacion,,High
TK-001,SIM NEWEN,SIM,Task,[SW] FEAT-SW-01.1 - Definir modelo de sesion,"Definir maquina de estados de sesion: preparada, en curso, pausada, reiniciando, finalizada y falla. Incluir comandos start, pause, resume, reset y stop, persistencia base y registro de eventos minimos.",sw,"newen,sim,scrumban,sw,session",,EPIC-SW-01 - Nucleo de simulacion y escenarios,High
